,date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
64,APR 17, Northern Virginia Town Hall ,1125, VA,"Crowne Plaza Old Town 901 N Fairfax St, Alexandria, VA",38.725592,-77.055501,1.0,street_center,,Crown Pl,Wellington,VA,Fairfax County,22308.0,US,TIGER/Line® dataset from the US Census Bureau,"Fairfax County, VA: 1125 guests"," Northern Virginia Town Hall , Crowne Plaza Old Town 901 N Fairfax St, Alexandria, VA",#FFFACD,30,"(-77.055501, 38.725592)",Point,O'Rourke
65,APR 17, Meet and Greet with HD 28 Dem Candidate Joshua Cole ,263, VA,"Pimenta 1108 Caroline St, Fredericksburg, VA",38.295134999999995,-77.483689,1.0,place,,,Fredericksburg,VA,Fredericksburg city,22401.0,US,TIGER/Line® dataset from the US Census Bureau,"Fredericksburg city, VA: 263 guests"," Meet and Greet with HD 28 Dem Candidate Joshua Cole , Pimenta 1108 Caroline St, Fredericksburg, VA",#FFFACD,30,"(-77.483689, 38.295134999999995)",Point,O'Rourke
66,APR 16, Meet and Greet with University of Virginia Students ,773, VA,"Nau 101 1540 Jefferson Park Ave, Charlottesville, VA",38.026588000000004,-78.48045,1.0,place,,,Charlottesville,VA,Charlottesville city,22902.0,US,TIGER/Line® dataset from the US Census Bureau,"Charlottesville city, VA: 773 guests"," Meet and Greet with University of Virginia Students , Nau 101 1540 Jefferson Park Ave, Charlottesville, VA",#FFFACD,30,"(-78.48045, 38.026588000000004)",Point,O'Rourke
67,APR 16, House Party with Henrico Democrats ,258, VA,"Hilton Richmond Hotel/Short Pump 12042 W Broad Street, Richmond, VA",37.524246000000005,-77.493157,1.0,place,,,Richmond,VA,Richmond city,23218.0,US,TIGER/Line® dataset from the US Census Bureau,"Richmond city, VA: 258 guests"," House Party with Henrico Democrats , Hilton Richmond Hotel/Short Pump 12042 W Broad Street, Richmond, VA",#FFFACD,30,"(-77.493157, 37.524246000000005)",Point,O'Rourke
68,APR 16, Meet and Greet with William and Mary Students ,514, VA,"Trinkle Hall, 108 Jamestown Rd, Williamsburg, VA",37.310451,-76.746769,1.0,place,,,Williamsburg,VA,Williamsburg city,23186.0,US,TIGER/Line® dataset from the US Census Bureau,"Williamsburg city, VA: 514 guests"," Meet and Greet with William and Mary Students , Trinkle Hall, 108 Jamestown Rd, Williamsburg, VA",#FFFACD,30,"(-76.746769, 37.310451)",Point,O'Rourke
69,APR 16, Meet and Greet with Peninsula Community ,516, VA,"The Vanguard Brewpub & Distillery 504 N King St, Hampton, VA",37.072658000000004,-76.38991999999999,1.0,place,,,Hampton,VA,Hampton city,23630.0,US,TIGER/Line® dataset from the US Census Bureau,"Hampton city, VA: 516 guests"," Meet and Greet with Peninsula Community , The Vanguard Brewpub & Distillery 504 N King St, Hampton, VA",#FFFACD,30,"(-76.38991999999999, 37.072658000000004)",Point,O'Rourke
70,APR 16, Meet and Greet with Southside Community ,431, VA,"Charlie’s American Cafe, 4024 Granby St, Norfolk, VA",36.895911,-76.20852099999999,1.0,place,,,Norfolk,VA,Norfolk city,23501.0,US,TIGER/Line® dataset from the US Census Bureau,"Norfolk city, VA: 431 guests"," Meet and Greet with Southside Community , Charlie’s American Cafe, 4024 Granby St, Norfolk, VA",#FFFACD,30,"(-76.20852099999999, 36.895911)",Point,O'Rourke
71,APR 15, University of North Carolina at Chapel Hill Town Hall ,1692, NC,"The Great Hall - FPG Student Union 209 South Road, Chapel Hill, NC",36.004647,-79.054475,1.0,place,,,Chapel Hill,NC,Orange County,27514.0,US,TIGER/Line® dataset from the US Census Bureau,"Orange County, NC: 1692 guests"," University of North Carolina at Chapel Hill Town Hall , The Great Hall - FPG Student Union 209 South Road, Chapel Hill, NC",#FFFACD,30,"(-79.054475, 36.004647)",Point,O'Rourke
72,APR 15, Natty Greene's Town Hall ,1005, NC,"Natty Greene’s 345 S Elm St Greensboro, NC",36.069144,-79.765156,1.0,place,,,Greensboro,NC,Guilford County,27401.0,US,TIGER/Line® dataset from the US Census Bureau,"Guilford County, NC: 1005 guests"," Natty Greene's Town Hall , Natty Greene’s 345 S Elm St Greensboro, NC",#FFFACD,30,"(-79.765156, 36.069144)",Point,O'Rourke
73,APR 15, Central Piedmont Community College Town Hall ,543, NC,"Central Piedmont Community College - Overcash Center Lawn 1206 Elizabeth Ave, Charlotte, NC",35.201947,-80.684673,1.0,street_center,,Central Dr,Charlotte,NC,Mecklenburg County,28227.0,US,TIGER/Line® dataset from the US Census Bureau,"Mecklenburg County, NC: 543 guests"," Central Piedmont Community College Town Hall , Central Piedmont Community College - Overcash Center Lawn 1206 Elizabeth Ave, Charlotte, NC",#FFFACD,30,"(-80.684673, 35.201947)",Point,O'Rourke
74,APR 14, Clemson University Rally ,642, SC,"Fike Recreation Center 110 Heisman St, Clemson, SC",34.681567,-82.815832,1.0,place,,,Clemson,SC,Pickens County,29631.0,US,TIGER/Line® dataset from the US Census Bureau,"Pickens County, SC: 642 guests"," Clemson University Rally , Fike Recreation Center 110 Heisman St, Clemson, SC",#FFFACD,30,"(-82.815832, 34.681567)",Point,O'Rourke
75,APR 13, Denmark Town Hall ,126, SC,"Lawrence Memorial Auditorium, Massachusetts Hall at Voorhees College 481 Porter Drive ,Denmark, SC",33.237543,-81.104895,1.0,place,,,Denmark,SC,Bamberg County,29042.0,US,TIGER/Line® dataset from the US Census Bureau,"Bamberg County, SC: 126 guests"," Denmark Town Hall , Lawrence Memorial Auditorium, Massachusetts Hall at Voorhees College 481 Porter Drive ,Denmark, SC",#FFFACD,20,"(-81.104895, 33.237543)",Point,O'Rourke
76,APR 13, Biscuits with Beto Meet & Greet ,683, SC,"Gilligan's Seafood Restaurant 3852 Ladson Rd, Ladson, SC",33.01317,-80.107174,1.0,place,,,Ladson,SC,Berkeley County,29456.0,US,TIGER/Line® dataset from the US Census Bureau,"Berkeley County, SC: 683 guests"," Biscuits with Beto Meet & Greet , Gilligan's Seafood Restaurant 3852 Ladson Rd, Ladson, SC",#FFFACD,30,"(-80.107174, 33.01317)",Point,O'Rourke
77,APR 12, Bluffton Town Hall ,577, SC,"H.E. McCracken Middle School Gymnasium 250 H. E. McCracken Cir, Bluffton, SC",32.217752000000004,-80.890837,0.33,place,,,Bluffton,SC,Beaufort County,29910.0,US,TIGER/Line® dataset from the US Census Bureau,"Beaufort County, SC: 577 guests"," Bluffton Town Hall , H.E. McCracken Middle School Gymnasium 250 H. E. McCracken Cir, Bluffton, SC",#FFFACD,30,"(-80.890837, 32.217752000000004)",Point,O'Rourke
78,APR 7, University of Iowa Town Hall ,854, IA,"2nd Floor Ballroom, Iowa Memorial Union, Iowa City, IA",41.634209000000006,-91.49905,0.33,place,,,Iowa City,IA,Johnson County,52240.0,US,TIGER/Line® dataset from the US Census Bureau,"Johnson County, IA: 854 guests"," University of Iowa Town Hall , 2nd Floor Ballroom, Iowa Memorial Union, Iowa City, IA",#FFFACD,30,"(-91.49905, 41.634209000000006)",Point,O'Rourke
79,APR 6, House Party at Mannheimer Residence ,288, IA,"Home of Sarah & Zack Mannheimer, 1611 Woodland Ave, Des Moines, IA",41.672686999999996,-93.57217299999999,1.0,place,,,Des Moines,IA,Polk County,50301.0,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 288 guests"," House Party at Mannheimer Residence , Home of Sarah & Zack Mannheimer, 1611 Woodland Ave, Des Moines, IA",#FFFACD,30,"(-93.57217299999999, 41.672686999999996)",Point,O'Rourke
80,APR 6, House Party at Blake Residence ,117, IA,"Home of Andrea & Nathan Blake, 3727 SW 28th St, Des Moines, IA",41.672686999999996,-93.57217299999999,1.0,place,,,Des Moines,IA,Polk County,50301.0,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 117 guests"," House Party at Blake Residence , Home of Andrea & Nathan Blake, 3727 SW 28th St, Des Moines, IA",#FFFACD,20,"(-93.57217299999999, 41.672686999999996)",Point,O'Rourke
81,APR 6, House Party at Ekhardt Residence ,199, IA,"Home of Bill & Tracy Ekhardt, 620 42nd St, Des Moines, IA",41.672686999999996,-93.57217299999999,1.0,place,,,Des Moines,IA,Polk County,50301.0,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 199 guests"," House Party at Ekhardt Residence , Home of Bill & Tracy Ekhardt, 620 42nd St, Des Moines, IA",#FFFACD,20,"(-93.57217299999999, 41.672686999999996)",Point,O'Rourke
82,APR 6, House Party at Weissenburger Residence ,175,,,0.0,0.0,0.0,,,,,,,,,,,,#FFFACD,20,"(0.0, 0.0)",Point,O'Rourke
83,APR 6, House Party at Kennedy Residence ,109, IA,"Home of Joan and Steve Kennedy, 1402 Oakwood Dr, Polk City, IA",41.776944,-93.672152,1.0,street_center,,Hume St,Polk City,IA,Polk County,50226.0,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 109 guests"," House Party at Kennedy Residence , Home of Joan and Steve Kennedy, 1402 Oakwood Dr, Polk City, IA",#FFFACD,20,"(-93.672152, 41.776944)",Point,O'Rourke
84,APR 6, House Party at Jensen Residence ,114, IA,"Home of Suzette Jensen, 3127 Thompson Ave, Des Moines, IA",41.672686999999996,-93.57217299999999,1.0,place,,,Des Moines,IA,Polk County,50301.0,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 114 guests"," House Party at Jensen Residence , Home of Suzette Jensen, 3127 Thompson Ave, Des Moines, IA",#FFFACD,20,"(-93.57217299999999, 41.672686999999996)",Point,O'Rourke
85,APR 5," Grinnell, IA Town Hall ",412, IA,"Hotel Grinnell, Grinnell, IA",41.685324,-92.630258,1.0,place,,,Grinnell,IA,Poweshiek County,50112.0,US,TIGER/Line® dataset from the US Census Bureau,"Poweshiek County, IA: 412 guests"," Grinnell, IA Town Hall , Hotel Grinnell, Grinnell, IA",#FFFACD,30,"(-92.630258, 41.685324)",Point,O'Rourke
86,APR 5," Marshalltown, IA House Party ",290, IA,"Mowry Irvine Mansion, 503 W. Main St, Marshalltown, IA",42.036096,-92.998867,1.0,place,,,Marshalltown,IA,Marshall County,50158.0,US,TIGER/Line® dataset from the US Census Bureau,"Marshall County, IA: 290 guests"," Marshalltown, IA House Party , Mowry Irvine Mansion, 503 W. Main St, Marshalltown, IA",#FFFACD,30,"(-92.998867, 42.036096)",Point,O'Rourke
87,APR 5," Fort Dodge, IA Meet & Greet ",712, IA,"Iowa Central Community College, Triton Cafe Conference Room, One Triton Circle, Fort Dodge, IA",42.438596000000004,-94.16658699999999,1.0,place,,,Fort Dodge,IA,Webster County,50501.0,US,TIGER/Line® dataset from the US Census Bureau,"Webster County, IA: 712 guests"," Fort Dodge, IA Meet & Greet , Iowa Central Community College, Triton Cafe Conference Room, One Triton Circle, Fort Dodge, IA",#FFFACD,30,"(-94.16658699999999, 42.438596000000004)",Point,O'Rourke
88,APR 5, Storm Lake Meet & Greet ,178, IA,"Better Day Cafe, 518 Lake Ave N, Storm Lake, IA",42.693184,-95.151811,1.0,place,,,Storm Lake,IA,Buena Vista County,50588.0,US,TIGER/Line® dataset from the US Census Bureau,"Buena Vista County, IA: 178 guests"," Storm Lake Meet & Greet , Better Day Cafe, 518 Lake Ave N, Storm Lake, IA",#FFFACD,20,"(-95.151811, 42.693184)",Point,O'Rourke
89,APR 4, Sioux City Town Hall ,440, IA,"Yockey Room, Olsen Student Center, Morningside College 1501 Morningside Ave, Sioux City, IA",42.494745,-96.39935600000001,1.0,place,,,Sioux City,IA,Woodbury County,51101.0,US,TIGER/Line® dataset from the US Census Bureau,"Woodbury County, IA: 440 guests"," Sioux City Town Hall , Yockey Room, Olsen Student Center, Morningside College 1501 Morningside Ave, Sioux City, IA",#FFFACD,30,"(-96.39935600000001, 42.494745)",Point,O'Rourke
90,APR 4," Denison, IA Meet & Greet ",130, IA,"Cronk’s Cafe, 812 4th Ave S, Denison, IA",42.037234999999995,-95.381819,1.0,place,,,Denison,IA,Crawford County,51442.0,US,TIGER/Line® dataset from the US Census Bureau,"Crawford County, IA: 130 guests"," Denison, IA Meet & Greet , Cronk’s Cafe, 812 4th Ave S, Denison, IA",#FFFACD,20,"(-95.381819, 42.037234999999995)",Point,O'Rourke
91,APR 4," Carroll, IA Meet & Greet ",83, IA,"Kerps Tavern, 223 E. 5th St, Carroll, IA",42.042547,-94.8338,1.0,place,,,Carroll,IA,Carroll County,51401.0,US,TIGER/Line® dataset from the US Census Bureau,"Carroll County, IA: 83 guests"," Carroll, IA Meet & Greet , Kerps Tavern, 223 E. 5th St, Carroll, IA",#FFFACD,15,"(-94.8338, 42.042547)",Point,O'Rourke
92,APR 3, Iowa State University Town Hall ,403, IA,"Maintenance Shop, Memorial Union, 2229 Lincoln Way, Ames, IA",42.037879,-93.600254,1.0,place,,,Ames,IA,Story County,50010.0,US,TIGER/Line® dataset from the US Census Bureau,"Story County, IA: 403 guests"," Iowa State University Town Hall , Maintenance Shop, Memorial Union, 2229 Lincoln Way, Ames, IA",#FFFACD,30,"(-93.600254, 42.037879)",Point,O'Rourke
93,MAR 30, Tonight: Beto for America Launch - Austin ,22325, TX,"9th and Congress, Austin, TX",30.273049,-97.749542,0.07,intersection,,9th St W,Austin,TX,Travis County,78701.0,US,TIGER/Line® dataset from the US Census Bureau,"Travis County, TX: 22325 guests"," Tonight: Beto for America Launch - Austin , 9th and Congress, Austin, TX",#FFFACD,30,"(-97.749542, 30.273049)",Point,O'Rourke
94,MAR 30, Tonight: Beto for America Launch - Houston ,15198, TX,"Texas Southern University, Houston, TX",29.740419,-95.320471,1.0,street_center,,Texas St,Houston,TX,Harris County,77011.0,US,TIGER/Line® dataset from the US Census Bureau,"Harris County, TX: 15198 guests"," Tonight: Beto for America Launch - Houston , Texas Southern University, Houston, TX",#FFFACD,30,"(-95.320471, 29.740419)",Point,O'Rourke
95,MAR 30, Beto for America Launch: Livestream Watch Parties ,845,,,0.0,0.0,0.0,,,,,,,,,,,,#FFFACD,30,"(0.0, 0.0)",Point,O'Rourke
96,MAR 30, Beto For America Launch - El Paso ,11146, TX,"Corner of El Paso St and Overland Ave, El Paso, TX",31.852715000000003,-106.61585900000001,1.0,street_center,,Cory Dr,El Paso,TX,El Paso County,79932.0,US,TIGER/Line® dataset from the US Census Bureau,"El Paso County, TX: 11146 guests"," Beto For America Launch - El Paso , Corner of El Paso St and Overland Ave, El Paso, TX",#FFFACD,30,"(-106.61585900000001, 31.852715000000003)",Point,O'Rourke
97,MAR 24, Las Vegas Meet and Greet with Young Democrats ,1134, NV,"Pour Coffeehouse 6811 S Eastern Ave #104-D Las Vegas, NV",36.17372,-115.10647,1.0,place,,,Las Vegas,NV,Clark County,89101.0,US,TIGER/Line® dataset from the US Census Bureau,"Clark County, NV: 1134 guests"," Las Vegas Meet and Greet with Young Democrats , Pour Coffeehouse 6811 S Eastern Ave #104-D Las Vegas, NV",#FFFACD,30,"(-115.10647, 36.17372)",Point,O'Rourke
98,MAR 24, Cafe con Beto en Las Vegas ,960, NV,"Arandas Taqueria 2040 N. Nellis Blvd, Las Vegas, NV",36.123649,-115.221833,1.0,street_center,,Arandas Ct,Las Vegas,NV,Clark County,89103.0,US,TIGER/Line® dataset from the US Census Bureau,"Clark County, NV: 960 guests"," Cafe con Beto en Las Vegas , Arandas Taqueria 2040 N. Nellis Blvd, Las Vegas, NV",#FFFACD,30,"(-115.221833, 36.123649)",Point,O'Rourke
99,MAR 23, Charleston Town Hall with Senator Marlon Kimpson ,556, SC,"Burke High School Gymnasium 244 President St, Charleston, SC",32.932121,-79.80999399999999,0.3,street_center,,Old Brick Ln,Charleston,SC,Berkeley County,29492.0,US,TIGER/Line® dataset from the US Census Bureau,"Berkeley County, SC: 556 guests"," Charleston Town Hall with Senator Marlon Kimpson , Burke High School Gymnasium 244 President St, Charleston, SC",#FFFACD,30,"(-79.80999399999999, 32.932121)",Point,O'Rourke
100,MAR 22, Charleston Meet and Greet ,973, SC,"Tradesman Brewing Company 1647 King St Ext, Charleston, SC",32.780326,-79.940844,1.0,place,,,Charleston,SC,Charleston County,29401.0,US,TIGER/Line® dataset from the US Census Bureau,"Charleston County, SC: 973 guests"," Charleston Meet and Greet , Tradesman Brewing Company 1647 King St Ext, Charleston, SC",#FFFACD,30,"(-79.940844, 32.780326)",Point,O'Rourke
101,MAR 22, Orangeburg Meet and Greet ,178, SC,"Student Center Plaza, South Carolina State University, Orangeburg, SC",33.490935,-80.821825,1.0,place,,,Orangeburg,SC,Orangeburg County,29115.0,US,TIGER/Line® dataset from the US Census Bureau,"Orangeburg County, SC: 178 guests"," Orangeburg Meet and Greet , Student Center Plaza, South Carolina State University, Orangeburg, SC",#FFFACD,20,"(-80.821825, 33.490935)",Point,O'Rourke
102,MAR 22, Columbia Meet and Greet ,913, SC,"Russell House (Student Union) Patio 1400 Greene St, Columbia, SC",33.987454,-81.02486400000001,1.0,place,,,Columbia,SC,Richland County,29201.0,US,TIGER/Line® dataset from the US Census Bureau,"Richland County, SC: 913 guests"," Columbia Meet and Greet , Russell House (Student Union) Patio 1400 Greene St, Columbia, SC",#FFFACD,30,"(-81.02486400000001, 33.987454)",Point,O'Rourke
103,MAR 22, Rock Hill Meet and Greet ,905, SC,"Amelie’s Cafe 157 E Main St, Rock Hill, SC",34.909109,-81.052437,1.0,place,,,Rock Hill,SC,York County,29730.0,US,TIGER/Line® dataset from the US Census Bureau,"York County, SC: 905 guests"," Rock Hill Meet and Greet , Amelie’s Cafe 157 E Main St, Rock Hill, SC",#FFFACD,30,"(-81.052437, 34.909109)",Point,O'Rourke
104,MAR 21," Laconia, NH Meet and Greet ",167, NH,"Wayfarer Coffee Roasters 626 Main St, Laconia, NH",43.576423,-71.481025,1.0,place,,,Laconia,NH,Belknap County,3246.0,US,TIGER/Line® dataset from the US Census Bureau,"Belknap County, NH: 167 guests"," Laconia, NH Meet and Greet , Wayfarer Coffee Roasters 626 Main St, Laconia, NH",#FFFACD,20,"(-71.481025, 43.576423)",Point,O'Rourke
105,MAR 21," Manchester, NH Meet and Greet ",402, NH,"Consuelos Taqueria  36 Amherst St, Manchester, NH",42.988483,-71.462111,1.0,place,,,Manchester,NH,Hillsborough County,3101.0,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 402 guests"," Manchester, NH Meet and Greet , Consuelos Taqueria  36 Amherst St, Manchester, NH",#FFFACD,30,"(-71.462111, 42.988483)",Point,O'Rourke
106,MAR 21," Portsmouth, NH Meet and Greet ",395, NH,"Popovers in Market Square 8 Congress Street, Portsmouth, NH",43.005895,-71.013202,1.0,place,,,Portsmouth,NH,Rockingham County,210.0,US,TIGER/Line® dataset from the US Census Bureau,"Rockingham County, NH: 395 guests"," Portsmouth, NH Meet and Greet , Popovers in Market Square 8 Congress Street, Portsmouth, NH",#FFFACD,30,"(-71.013202, 43.005895)",Point,O'Rourke
107,MAR 20, UNH Meet and Greet ,418, NH,"University of New Hampshire 95 Main St, Durham, NH",43.141329999999996,-70.92294,1.0,place,,,Durham,NH,Strafford County,3824.0,US,TIGER/Line® dataset from the US Census Bureau,"Strafford County, NH: 418 guests"," UNH Meet and Greet , University of New Hampshire 95 Main St, Durham, NH",#FFFACD,30,"(-70.92294, 43.141329999999996)",Point,O'Rourke
108,MAR 20," Conway, NH Meet and Greet ",187, NH,"Tuckerman Brewing Co. Conway  66 Hobbs St, Conway, NH",43.981320000000004,-71.12722,1.0,place,,,Conway,NH,Carroll County,3818.0,US,TIGER/Line® dataset from the US Census Bureau,"Carroll County, NH: 187 guests"," Conway, NH Meet and Greet , Tuckerman Brewing Co. Conway  66 Hobbs St, Conway, NH",#FFFACD,20,"(-71.12722, 43.981320000000004)",Point,O'Rourke
109,MAR 20," Plymouth, NH Meet and Greet ",137, NH,"Plymouth State 17 High St, Plymouth, NH",43.710919,-71.694017,1.0,place,,,Plymouth,NH,Grafton County,3264.0,US,TIGER/Line® dataset from the US Census Bureau,"Grafton County, NH: 137 guests"," Plymouth, NH Meet and Greet , Plymouth State 17 High St, Plymouth, NH",#FFFACD,20,"(-71.694017, 43.710919)",Point,O'Rourke
110,MAR 20," Claremont, NH Meet and Greet ",118, NH,"Common Man Inn  20 Water St, Claremont, NH",43.376740000000005,-72.34676,1.0,place,,,Claremont,NH,Sullivan County,3743.0,US,TIGER/Line® dataset from the US Census Bureau,"Sullivan County, NH: 118 guests"," Claremont, NH Meet and Greet , Common Man Inn  20 Water St, Claremont, NH",#FFFACD,20,"(-72.34676, 43.376740000000005)",Point,O'Rourke
111,MAR 19," Keene, NH Meet and Greet ",550, NH,"Keene State College Student Center 229 Main St, Keene, NH",42.965044,-72.294803,1.0,place,,,Keene,NH,Cheshire County,3431.0,US,TIGER/Line® dataset from the US Census Bureau,"Cheshire County, NH: 550 guests"," Keene, NH Meet and Greet , Keene State College Student Center 229 Main St, Keene, NH",#FFFACD,30,"(-72.294803, 42.965044)",Point,O'Rourke
112,MAR 19," State College, PA Meet and Greet ",906, PA,"Hetzel Union Building Room 129 ABC 16802 Pollock Road State College, PA",40.797831,-77.853264,1.0,street_center,,Hetzel St,State College,PA,Centre County,16801.0,US,TIGER/Line® dataset from the US Census Bureau,"Centre County, PA: 906 guests"," State College, PA Meet and Greet , Hetzel Union Building Room 129 ABC 16802 Pollock Road State College, PA",#FFFACD,30,"(-77.853264, 40.797831)",Point,O'Rourke
113,MAR 18," Center Line, Michigan Meet and Greet ",482, MI,"Hometown Heroes Coffee and MoreCenter Line, MI",46.253837,-87.08458900000001,0.18,place,,,Kiva,MI,Alger County,49891.0,US,TIGER/Line® dataset from the US Census Bureau,"Alger County, MI: 482 guests"," Center Line, Michigan Meet and Greet , Hometown Heroes Coffee and MoreCenter Line, MI",#FFFACD,30,"(-87.08458900000001, 46.253837)",Point,O'Rourke
114,MAR 17," Madison, Wisconsin Meet and Greet ",1094, WI,"Cargo Coffee East, Madison, WI",43.069559999999996,-89.423861,1.0,place,,,Madison,WI,Dane County,53701.0,US,TIGER/Line® dataset from the US Census Bureau,"Dane County, WI: 1094 guests"," Madison, Wisconsin Meet and Greet , Cargo Coffee East, Madison, WI",#FFFACD,30,"(-89.423861, 43.069559999999996)",Point,O'Rourke
115,MAR 16," Dubuque, Iowa House Party ",122, IA,"410 Shrewsbury Ln, Dubuque, IA",42.468115999999995,-90.754799,1.0,rooftop,410.0,Shrewsbury Ln,Dubuque,IA,Dubuque County,52003.0,US,Dubuque,"Dubuque County, IA: 122 guests"," Dubuque, Iowa House Party , 410 Shrewsbury Ln, Dubuque, IA",#FFFACD,20,"(-90.754799, 42.468115999999995)",Point,O'Rourke
116,MAR 16," Independence, Iowa Meet & Greet ",125, IA,"Independence Public Library, Independence, IA",42.506054999999996,-91.81214,1.0,place,,,Independence,IA,Buchanan County,50644.0,US,TIGER/Line® dataset from the US Census Bureau,"Buchanan County, IA: 125 guests"," Independence, Iowa Meet & Greet , Independence Public Library, Independence, IA",#FFFACD,20,"(-91.81214, 42.506054999999996)",Point,O'Rourke
117,MAR 16, SD30 Canvass Kickoff ,72, IA,"Black Hawk County Democrats, Waterloo, IA",42.488381,-92.327299,1.0,street_center,,Black Hawk St,Waterloo,IA,Black Hawk County,50702.0,US,TIGER/Line® dataset from the US Census Bureau,"Black Hawk County, IA: 72 guests"," SD30 Canvass Kickoff , Black Hawk County Democrats, Waterloo, IA",#FFFACD,15,"(-92.327299, 42.488381)",Point,O'Rourke
118,MAR 15, Political Party Live Podcast ,122, IA,"1028 3rd St SE, Cedar Rapids, IA",41.971434,-91.65875600000001,1.0,rooftop,1028.0,3rd St SE,Cedar Rapids,IA,Linn County,52401.0,US,Linn,"Linn County, IA: 122 guests"," Political Party Live Podcast , 1028 3rd St SE, Cedar Rapids, IA",#FFFACD,20,"(-91.65875600000001, 41.971434)",Point,O'Rourke
119,MAR 15," Mount Vernon, Iowa Meet & Greet ",133,IA,"Mount Vernon, IA",41.939802,-91.450762,1.0,place,,,Mount Vernon,IA,Linn County,52314.0,US,TIGER/Line® dataset from the US Census Bureau,"Linn County, IA: 133 guests"," Mount Vernon, Iowa Meet & Greet , Mount Vernon, IA",#FFFACD,20,"(-91.450762, 41.939802)",Point,O'Rourke
120,MAR 15," Washington, Iowa Meet & Greet ",77, IA,"Art Domestique, Washington, IA",41.316629999999996,-91.751808,1.0,place,,,Washington,IA,Washington County,52353.0,US,TIGER/Line® dataset from the US Census Bureau,"Washington County, IA: 77 guests"," Washington, Iowa Meet & Greet , Art Domestique, Washington, IA",#FFFACD,15,"(-91.751808, 41.316629999999996)",Point,O'Rourke
121,MAR 15," Mount Pleasant, Iowa Meet & Greet ",59, IA,"120 S Main St, Mt Pleasant, IA",40.965682,-91.553185,1.0,range_interpolation,120.0,S Main St,Mount Pleasant,IA,Henry County,52641.0,US,TIGER/Line® dataset from the US Census Bureau,"Henry County, IA: 59 guests"," Mount Pleasant, Iowa Meet & Greet , 120 S Main St, Mt Pleasant, IA",#FFFACD,15,"(-91.553185, 40.965682)",Point,O'Rourke
122,MAR 14," Muscatine, Iowa House Party ",130, IA,"402 E 8th St, Muscatine, IA",41.427755,-91.04711400000001,1.0,range_interpolation,402.0,E 8th St,Muscatine,IA,Muscatine County,52761.0,US,TIGER/Line® dataset from the US Census Bureau,"Muscatine County, IA: 130 guests"," Muscatine, Iowa House Party , 402 E 8th St, Muscatine, IA",#FFFACD,20,"(-91.04711400000001, 41.427755)",Point,O'Rourke
123,MAR 14," Burlington, Iowa Meet & Greet ",52, IA,"The Beancounter Coffeehouse & Drinkery, Burlington, IA",40.898412,-91.164393,1.0,place,,,Burlington,IA,Des Moines County,52601.0,US,TIGER/Line® dataset from the US Census Bureau,"Des Moines County, IA: 52 guests"," Burlington, Iowa Meet & Greet , The Beancounter Coffeehouse & Drinkery, Burlington, IA",#FFFACD,15,"(-91.164393, 40.898412)",Point,O'Rourke
