,date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
64,APR 2, Conversations in Clarinda ,34, IA,"J Bruner's - 117 N 15th St, Clarinda, IA",40.738246999999994,-95.10848100000001,1.0,place,,,Clarinda,IA,Page County,51632,US,TIGER/Line® dataset from the US Census Bureau,"Page County, IA: 34 guests"," Conversations in Clarinda , J Bruner's - 117 N 15th St, Clarinda, IA",#fbdaee,10,"(-95.10848100000001, 40.738246999999994)",Point,Warren
65,MAR 31, Grinnell CNN Town Hall Rewatch Party ,16, IA,"Peace Tree Brewing Company - 923 Main St., Grinnell, IA",41.685324,-92.630258,1.0,place,,,Grinnell,IA,Poweshiek County,50112,US,TIGER/Line® dataset from the US Census Bureau,"Poweshiek County, IA: 16 guests"," Grinnell CNN Town Hall Rewatch Party , Peace Tree Brewing Company - 923 Main St., Grinnell, IA",#fbdaee,10,"(-92.630258, 41.685324)",Point,Warren
66,MAR 31, Storm Lake Coffee & Chat ,19, IA,"Coffee Tree - 730 Lake Ave N, Storm Lake, IA",42.693184,-95.151811,1.0,place,,,Storm Lake,IA,Buena Vista County,50588,US,TIGER/Line® dataset from the US Census Bureau,"Buena Vista County, IA: 19 guests"," Storm Lake Coffee & Chat , Coffee Tree - 730 Lake Ave N, Storm Lake, IA",#fbdaee,10,"(-95.151811, 42.693184)",Point,Warren
67,MAR 30, Heartland Forum Watch Party and Discussion ,2, IA,"Kerp's - 223 E 5th St, Carroll, IA",42.042547,-94.8338,1.0,place,,,Carroll,IA,Carroll County,51401,US,TIGER/Line® dataset from the US Census Bureau,"Carroll County, IA: 2 guests"," Heartland Forum Watch Party and Discussion , Kerp's - 223 E 5th St, Carroll, IA",#fbdaee,5,"(-94.8338, 42.042547)",Point,Warren
68,MAR 30, Warren for Warren Heartland Forum Watch Party ,35, IA,"Black Box, Kent Campus Center - 701 N C Street, Indianola, IA",41.314309,-93.588041,1.0,place,,,Indianola,IA,Warren County,50125,US,TIGER/Line® dataset from the US Census Bureau,"Warren County, IA: 35 guests"," Warren for Warren Heartland Forum Watch Party , Black Box, Kent Campus Center - 701 N C Street, Indianola, IA",#fbdaee,10,"(-93.588041, 41.314309)",Point,Warren
69,MAR 30, Council Bluffs Watch Party ,49, IA,"Lincoln's Pub -  157 W. Broadway, Council Bluffs, IA",41.23238,-95.875086,1.0,place,,,Council Bluffs,IA,Pottawattamie County,51501,US,TIGER/Line® dataset from the US Census Bureau,"Pottawattamie County, IA: 49 guests"," Council Bluffs Watch Party , Lincoln's Pub -  157 W. Broadway, Council Bluffs, IA",#fbdaee,10,"(-95.875086, 41.23238)",Point,Warren
70,MAR 30, Coffee & Community Conversations in Ottumwa ,27, IA,"Top Hat Coffee - 228 E Main St,  Ottumwa, IA",41.030933000000005,-92.409827,1.0,place,,,Ottumwa,IA,Wapello County,52501,US,TIGER/Line® dataset from the US Census Bureau,"Wapello County, IA: 27 guests"," Coffee & Community Conversations in Ottumwa , Top Hat Coffee - 228 E Main St,  Ottumwa, IA",#fbdaee,10,"(-92.409827, 41.030933000000005)",Point,Warren
71,MAR 29, Organizing Event with Elizabeth Warren & J.D. Scholten ,546, IA,"Noah’s Event Venue - 1805 90th St. West, Des Moines, IA",41.567138,-93.717232,1.0,place,,,West Des Moines,IA,Polk County,50265,US,TIGER/Line® dataset from the US Census Bureau,"Polk County, IA: 546 guests"," Organizing Event with Elizabeth Warren & J.D. Scholten , Noah’s Event Venue - 1805 90th St. West, Des Moines, IA",#fbdaee,30,"(-93.717232, 41.567138)",Point,Warren
72,MAR 29, Perry Meet & Greet with Elizabeth Warren ,310, IA,"La Poste – 1219 Warford St, Perry, IA",41.516482,-94.031772,0.9,street_center,,N Ln,De Soto,IA,Dallas County,50069,US,TIGER/Line® dataset from the US Census Bureau,"Dallas County, IA: 310 guests"," Perry Meet & Greet with Elizabeth Warren , La Poste – 1219 Warford St, Perry, IA",#fbdaee,30,"(-94.031772, 41.516482)",Point,Warren
73,MAR 29, Marshalltown Meet & Greet with Elizabeth Warren ,188, IA,"Iowa Veterans Home (Whitehall Auditorium) – 1301 Summit St, Marshalltown, IA",42.036096,-92.998867,1.0,place,,,Marshalltown,IA,Marshall County,50158,US,TIGER/Line® dataset from the US Census Bureau,"Marshall County, IA: 188 guests"," Marshalltown Meet & Greet with Elizabeth Warren , Iowa Veterans Home (Whitehall Auditorium) – 1301 Summit St, Marshalltown, IA",#fbdaee,20,"(-92.998867, 42.036096)",Point,Warren
74,MAR 24, Conway Organizing Event with Elizabeth Warren ,224, NH,"A. Crosby Kennett Middle School, Conway, NH",43.981320000000004,-71.12722,1.0,place,,,Conway,NH,Carroll County,3818,US,TIGER/Line® dataset from the US Census Bureau,"Carroll County, NH: 224 guests"," Conway Organizing Event with Elizabeth Warren , A. Crosby Kennett Middle School, Conway, NH",#fbdaee,30,"(-71.12722, 43.981320000000004)",Point,Warren
75,MAR 23, Berlin Meet & Greet with Elizabeth Warren ,190, NH,"Berlin City Hall – 168 Main Street, Berlin, NH",44.512344,-71.194226,1.0,place,,,Berlin,NH,Coos County,3570,US,TIGER/Line® dataset from the US Census Bureau,"Coos County, NH: 190 guests"," Berlin Meet & Greet with Elizabeth Warren , Berlin City Hall – 168 Main Street, Berlin, NH",#fbdaee,20,"(-71.194226, 44.512344)",Point,Warren
76,MAR 23, Community Conversation w/ Elizabeth Warren on the Opioid Crisis ,171, NH,"Littleton High School, Littleton, NH",44.335289,-71.877638,1.0,place,,,Littleton,NH,Grafton County,3561,US,TIGER/Line® dataset from the US Census Bureau,"Grafton County, NH: 171 guests"," Community Conversation w/ Elizabeth Warren on the Opioid Crisis , Littleton High School, Littleton, NH",#fbdaee,20,"(-71.877638, 44.335289)",Point,Warren
77,MAR 19, Birmingham Organizing Event with Elizabeth Warren ,1087, AL,"The Boutwell Auditorium, Birmingham, AL",33.456412,-86.80190400000001,1.0,place,,,Birmingham,AL,Jefferson County,35201,US,TIGER/Line® dataset from the US Census Bureau,"Jefferson County, AL: 1087 guests"," Birmingham Organizing Event with Elizabeth Warren , The Boutwell Auditorium, Birmingham, AL",#fbdaee,30,"(-86.80190400000001, 33.456412)",Point,Warren
78,MAR 18, CNN Town Hall with Elizabeth Warren Watch Party ,152, MS,"The Manship, Jackson, MS",32.289656,-90.184201,1.0,place,,,Jackson,MS,Hinds County,39201,US,TIGER/Line® dataset from the US Census Bureau,"Hinds County, MS: 152 guests"," CNN Town Hall with Elizabeth Warren Watch Party , The Manship, Jackson, MS",#fbdaee,20,"(-90.184201, 32.289656)",Point,Warren
79,MAR 17, Shelby County Organizing Event with Elizabeth Warren ,764, TN,"Frederick Douglass High School - Red Devils, Memphis, TN",35.169255,-89.990415,1.0,place,,,Memphis,TN,Shelby County,37501,US,TIGER/Line® dataset from the US Census Bureau,"Shelby County, TN: 764 guests"," Shelby County Organizing Event with Elizabeth Warren , Frederick Douglass High School - Red Devils, Memphis, TN",#fbdaee,30,"(-89.990415, 35.169255)",Point,Warren
80,MAR 15, Exeter Organizing Event with Elizabeth Warren ,672, NH,"Exeter Town Hall – 10 Front Street, Exeter, NH",42.948397,-71.028841,1.0,street_center,,Exeter Rd,Exeter,NH,Rockingham County,3833,US,TIGER/Line® dataset from the US Census Bureau,"Rockingham County, NH: 672 guests"," Exeter Organizing Event with Elizabeth Warren , Exeter Town Hall – 10 Front Street, Exeter, NH",#fbdaee,30,"(-71.028841, 42.948397)",Point,Warren
81,MAR 10, Dallas Organizing Event with Elizabeth Warren ,2714, TX,"Granada Theater, Dallas, TX",32.761359000000006,-96.76216,0.8,street_center,,Guaranty St,Dallas,TX,Dallas County,75215,US,TIGER/Line® dataset from the US Census Bureau,"Dallas County, TX: 2714 guests"," Dallas Organizing Event with Elizabeth Warren , Granada Theater, Dallas, TX",#fbdaee,30,"(-96.76216, 32.761359000000006)",Point,Warren
82,MAR 2, Waterloo Organizing Event with Elizabeth Warren ,565, IA,"Central Middle School, Waterloo, IA",42.441117,-92.339209,1.0,place,,,Waterloo,IA,Black Hawk County,50701,US,TIGER/Line® dataset from the US Census Bureau,"Black Hawk County, IA: 565 guests"," Waterloo Organizing Event with Elizabeth Warren , Central Middle School, Waterloo, IA",#fbdaee,30,"(-92.339209, 42.441117)",Point,Warren
83,MAR 1, Decorah House Party with Elizabeth Warren ,172, IA,"218 W Water St, Decorah, IA",43.304246,-91.78798,1.0,rooftop,218.0,W Water St,Decorah,IA,Winneshiek County,52101,US,Winneshiek,"Winneshiek County, IA: 172 guests"," Decorah House Party with Elizabeth Warren , 218 W Water St, Decorah, IA",#fbdaee,20,"(-91.78798, 43.304246)",Point,Warren
84,MAR 1, Coffee with Elizabeth Warren in Elkader ,106, IA,"916 N High St, Elkader, IA",42.862386,-91.399974,1.0,range_interpolation,916.0,N High St,Elkader,IA,Clayton County,52043,US,TIGER/Line® dataset from the US Census Bureau,"Clayton County, IA: 106 guests"," Coffee with Elizabeth Warren in Elkader , 916 N High St, Elkader, IA",#fbdaee,20,"(-91.399974, 42.862386)",Point,Warren
85,MAR 1, Dubuque Organizing Event with Elizabeth Warren ,723, IA,"Stone Cliff Winery, Dubuque, IA",42.50349,-90.709629,0.9,street_center,,St Anne Dr,Dubuque,IA,Dubuque County,52001,US,TIGER/Line® dataset from the US Census Bureau,"Dubuque County, IA: 723 guests"," Dubuque Organizing Event with Elizabeth Warren , Stone Cliff Winery, Dubuque, IA",#fbdaee,30,"(-90.709629, 42.50349)",Point,Warren
86,FEB 23, Plymouth Organizing Event with Elizabeth Warren ,484, NH,"Heritage Commons at Plymouth State University – 17 High Street, Plymouth, NH",43.710919,-71.694017,1.0,place,,,Plymouth,NH,Grafton County,3264,US,TIGER/Line® dataset from the US Census Bureau,"Grafton County, NH: 484 guests"," Plymouth Organizing Event with Elizabeth Warren , Heritage Commons at Plymouth State University – 17 High Street, Plymouth, NH",#fbdaee,30,"(-71.694017, 43.710919)",Point,Warren
87,FEB 18, Los Angeles Organizing Event with Elizabeth Warren ,5117, CA,"Alex Theatre, Glendale, CA",34.17051,-118.28946299999998,1.0,place,,,Glendale,CA,Los Angeles County,91201,US,TIGER/Line® dataset from the US Census Bureau,"Los Angeles County, CA: 5117 guests"," Los Angeles Organizing Event with Elizabeth Warren , Alex Theatre, Glendale, CA",#fbdaee,30,"(-118.28946299999998, 34.17051)",Point,Warren
88,FEB 17, Las Vegas Organizing Event with Elizabeth Warren ,1657, NV,"Springs Preserve, Las Vegas, NV",36.17372,-115.10647,1.0,place,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau,"Clark County, NV: 1657 guests"," Las Vegas Organizing Event with Elizabeth Warren , Springs Preserve, Las Vegas, NV",#fbdaee,30,"(-115.10647, 36.17372)",Point,Warren
89,FEB 16, Lawrenceville Organizing Event with Elizabeth Warren ,2176, GA,"Central Gwinnett High School, Lawrenceville, GA",33.929464,-84.103226,1.0,place,,,Lawrenceville,GA,Gwinnett County,30042,US,TIGER/Line® dataset from the US Census Bureau,"Gwinnett County, GA: 2176 guests"," Lawrenceville Organizing Event with Elizabeth Warren , Central Gwinnett High School, Lawrenceville, GA",#fbdaee,30,"(-84.103226, 33.929464)",Point,Warren
90,FEB 16, Greenville Organizing Event with Elizabeth Warren ,1573, SC,"West End Community Development Center, Greenville, SC",34.848566999999996,-82.40287099999999,1.0,place,,,Greenville,SC,Greenville County,29601,US,TIGER/Line® dataset from the US Census Bureau,"Greenville County, SC: 1573 guests"," Greenville Organizing Event with Elizabeth Warren , West End Community Development Center, Greenville, SC",#fbdaee,30,"(-82.40287099999999, 34.848566999999996)",Point,Warren
91,FEB 10, Davenport Roundtable Discussion with Elizabeth Warren ,1515, IA,"Mississippi Valley Fairgrounds, Davenport, IA",41.535297,-90.553552,1.0,street_center,,Mississippi Ave,Davenport,IA,Scott County,52803,US,TIGER/Line® dataset from the US Census Bureau,"Scott County, IA: 1515 guests"," Davenport Roundtable Discussion with Elizabeth Warren , Mississippi Valley Fairgrounds, Davenport, IA",#fbdaee,30,"(-90.553552, 41.535297)",Point,Warren
92,FEB 10, Iowa City Rally with Elizabeth Warren ,1999, IA,"Iowa Memorial Union, Iowa City, IA",41.634209000000006,-91.49905,1.0,place,,,Iowa City,IA,Johnson County,52240,US,TIGER/Line® dataset from the US Census Bureau,"Johnson County, IA: 1999 guests"," Iowa City Rally with Elizabeth Warren , Iowa Memorial Union, Iowa City, IA",#fbdaee,30,"(-91.49905, 41.634209000000006)",Point,Warren
93,FEB 10, Cedar Rapids Organizing Event with Elizabeth Warren ,759, IA,"Veterans Memorial Building & Commission, Cedar Rapids, IA",41.976612,-91.657578,1.0,place,,,Cedar Rapids,IA,Linn County,52401,US,TIGER/Line® dataset from the US Census Bureau,"Linn County, IA: 759 guests"," Cedar Rapids Organizing Event with Elizabeth Warren , Veterans Memorial Building & Commission, Cedar Rapids, IA",#fbdaee,30,"(-91.657578, 41.976612)",Point,Warren
94,FEB 9, Dover Organizing Event with Elizabeth Warren ,1143, NH,"City Hall - Dover NH, Dover, NH",43.190666,-70.887661,1.0,place,,,Dover,NH,Strafford County,3820,US,TIGER/Line® dataset from the US Census Bureau,"Strafford County, NH: 1143 guests"," Dover Organizing Event with Elizabeth Warren , City Hall - Dover NH, Dover, NH",#fbdaee,30,"(-70.887661, 43.190666)",Point,Warren
95,FEB 9," Announcement: Elizabeth Warren in Lawrence, MA ",3945, MA,"Everett Mills, Lawrence, MA",42.695207,-71.169078,1.0,street_center,,Everett St,Lawrence,MA,Essex County,1843,US,TIGER/Line® dataset from the US Census Bureau,"Essex County, MA: 3945 guests"," Announcement: Elizabeth Warren in Lawrence, MA , Everett Mills, Lawrence, MA",#fbdaee,30,"(-71.169078, 42.695207)",Point,Warren
96,FEB 9," Team Warren Boston Bus to Lawrence, MA ",237, MA,"Reggie Lewis Track and Athletic Center, Boston, MA",42.370567,-71.026964,1.0,place,,,Boston,MA,Suffolk County,2101,US,TIGER/Line® dataset from the US Census Bureau,"Suffolk County, MA: 237 guests"," Team Warren Boston Bus to Lawrence, MA , Reggie Lewis Track and Athletic Center, Boston, MA",#fbdaee,30,"(-71.026964, 42.370567)",Point,Warren
97,FEB 9," Team Warren Cambridge Bus to Lawrence, MA ",271, MA,"Sanders Theatre at Harvard University, Cambridge, MA",42.380441999999995,-71.132947,1.0,place,,,Cambridge,MA,Middlesex County,2138,US,TIGER/Line® dataset from the US Census Bureau,"Middlesex County, MA: 271 guests"," Team Warren Cambridge Bus to Lawrence, MA , Sanders Theatre at Harvard University, Cambridge, MA",#fbdaee,30,"(-71.132947, 42.380441999999995)",Point,Warren
98,FEB 9," Team Warren Framingham Bus to Lawrence, MA ",42, MA,"1071 Worcester Rd, Framingham, MA",42.300069,-71.441959,1.0,rooftop,1071.0,Worcester Rd,Framingham,MA,Middlesex County,1701,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","Middlesex County, MA: 42 guests"," Team Warren Framingham Bus to Lawrence, MA , 1071 Worcester Rd, Framingham, MA",#fbdaee,10,"(-71.441959, 42.300069)",Point,Warren
99,FEB 9," Team Warren Worcester Bus to Lawrence, MA ",248, MA,"15 Maywood St, Worcester, MA",42.249712,-71.824774,1.0,rooftop,15.0,Maywood St,Worcester,MA,Worcester County,1603,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","Worcester County, MA: 248 guests"," Team Warren Worcester Bus to Lawrence, MA , 15 Maywood St, Worcester, MA",#fbdaee,30,"(-71.824774, 42.249712)",Point,Warren
100,FEB 9," Team Warren Springfield Bus to Lawrence, MA ",132, MA,"1000 Hall of Fame Ave, Springfield, MA",42.093796000000005,-72.585228,1.0,rooftop,1000.0,Hall Of Fame Ave,Springfield,MA,Hampden County,1105,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","Hampden County, MA: 132 guests"," Team Warren Springfield Bus to Lawrence, MA , 1000 Hall of Fame Ave, Springfield, MA",#fbdaee,20,"(-72.585228, 42.093796000000005)",Point,Warren
101,FEB 9," Team Warren Barnstable Bus to Lawrence, MA ",302, MA,"Park & Ride-Barnstable, Barnstable, MA",41.697313,-70.30139399999999,1.0,place,,,Barnstable,MA,Barnstable County,2630,US,TIGER/Line® dataset from the US Census Bureau,"Barnstable County, MA: 302 guests"," Team Warren Barnstable Bus to Lawrence, MA , Park & Ride-Barnstable, Barnstable, MA",#fbdaee,30,"(-70.30139399999999, 41.697313)",Point,Warren
102,JAN 25, Event Canceled: Las Vegas Organizing Event with Elizabeth Warren ,1295, NV,"Springs Preserve, Las Vegas, NV",36.17372,-115.10647,1.0,place,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau,"Clark County, NV: 1295 guests"," Event Canceled: Las Vegas Organizing Event with Elizabeth Warren , Springs Preserve, Las Vegas, NV",#fbdaee,30,"(-115.10647, 36.17372)",Point,Warren
103,JAN 23, Columbia Organizing Event with Elizabeth Warren ,829, SC,"Columbia College SC, Columbia, SC",34.041786,-81.027869,1.0,street_center,,Columbia College Dr,Columbia,SC,Richland County,29203,US,TIGER/Line® dataset from the US Census Bureau,"Richland County, SC: 829 guests"," Columbia Organizing Event with Elizabeth Warren , Columbia College SC, Columbia, SC",#fbdaee,30,"(-81.027869, 34.041786)",Point,Warren
104,JAN 18, Claremont Organizing Event with Elizabeth Warren ,388, NH,"The Common Man - 16 Mill Road, Claremont, NH",43.376740000000005,-72.34676,1.0,place,,,Claremont,NH,Sullivan County,3743,US,TIGER/Line® dataset from the US Census Bureau,"Sullivan County, NH: 388 guests"," Claremont Organizing Event with Elizabeth Warren , The Common Man - 16 Mill Road, Claremont, NH",#fbdaee,30,"(-72.34676, 43.376740000000005)",Point,Warren
105,JAN 12, Manchester Organizing Event with Elizabeth Warren ,1252, NH,"Manchester Community College, Manchester, NH",42.990048,-71.45542900000001,0.6,street_center,,Manchester St,Manchester,NH,Hillsborough County,3103,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 1252 guests"," Manchester Organizing Event with Elizabeth Warren , Manchester Community College, Manchester, NH",#fbdaee,30,"(-71.45542900000001, 42.990048)",Point,Warren
106,JAN 5, Des Moines Organizing Event with Elizabeth Warren ,3424, IA,"322 E Court Ave, Des Moines, IA",41.587205,-93.61227,1.0,rooftop,322.0,E Court Ave,Des Moines,IA,Polk County,50309,US,Polk,"Polk County, IA: 3424 guests"," Des Moines Organizing Event with Elizabeth Warren , 322 E Court Ave, Des Moines, IA",#fbdaee,30,"(-93.61227, 41.587205)",Point,Warren
107,JAN 5, Storm Lake Roundtable with Elizabeth Warren ,387, IA,"110 E 3rd St, Storm Lake, IA",42.640789,-95.199733,1.0,range_interpolation,110.0,E 3rd St,Storm Lake,IA,Buena Vista County,50588,US,TIGER/Line® dataset from the US Census Bureau,"Buena Vista County, IA: 387 guests"," Storm Lake Roundtable with Elizabeth Warren , 110 E 3rd St, Storm Lake, IA",#fbdaee,30,"(-95.199733, 42.640789)",Point,Warren
108,JAN 5, Sioux City Organizing Event with Elizabeth Warren ,1321, IA,"Orpheum Theatre, Sioux City, IA",42.494745,-96.39935600000001,1.0,place,,,Sioux City,IA,Woodbury County,51101,US,TIGER/Line® dataset from the US Census Bureau,"Woodbury County, IA: 1321 guests"," Sioux City Organizing Event with Elizabeth Warren , Orpheum Theatre, Sioux City, IA",#fbdaee,30,"(-96.39935600000001, 42.494745)",Point,Warren
109,JAN 4, Council Bluffs Organizing Event with Elizabeth Warren ,2722, IA,"The Gathering Room - 1900 Madison Avenue, Council Bluffs, IA",41.23238,-95.875086,1.0,place,,,Council Bluffs,IA,Pottawattamie County,51501,US,TIGER/Line® dataset from the US Census Bureau,"Pottawattamie County, IA: 2722 guests"," Council Bluffs Organizing Event with Elizabeth Warren , The Gathering Room - 1900 Madison Avenue, Council Bluffs, IA",#fbdaee,30,"(-95.875086, 41.23238)",Point,Warren
110,DEC 8, Plymouth Town Hall with Elizabeth Warren ,603, MA,"Plymouth North High School, Plymouth, MA",41.770031,-70.604587,1.0,street_center,,Plymouth Ln,Buzzards Bay,MA,Barnstable County,2532,US,TIGER/Line® dataset from the US Census Bureau,"Barnstable County, MA: 603 guests"," Plymouth Town Hall with Elizabeth Warren , Plymouth North High School, Plymouth, MA",#fbdaee,30,"(-70.604587, 41.770031)",Point,Warren
111,NOV 6, Election Night Watch Party with Elizabeth Warren & MassDems ,2497, MA,"Fairmont Copley Plaza, Boston, MA",42.370567,-71.026964,1.0,place,,,Boston,MA,Suffolk County,2101,US,TIGER/Line® dataset from the US Census Bureau,"Suffolk County, MA: 2497 guests"," Election Night Watch Party with Elizabeth Warren & MassDems , Fairmont Copley Plaza, Boston, MA",#fbdaee,30,"(-71.026964, 42.370567)",Point,Warren
112,NOV 5," Hudson Election Eve Rally w/ Elizabeth, Ed Markey & Lori Trahan ",730, MA,"Hudson Portuguese Club, Hudson, MA",42.376129,-71.56532,1.0,street_center,,State Rte 85 Con,Hudson,MA,Middlesex County,1749,US,TIGER/Line® dataset from the US Census Bureau,"Middlesex County, MA: 730 guests"," Hudson Election Eve Rally w/ Elizabeth, Ed Markey & Lori Trahan , Hudson Portuguese Club, Hudson, MA",#fbdaee,30,"(-71.56532, 42.376129)",Point,Warren
113,NOV 5, Lowell Get Out the Vote Canvass Kick-off with Elizabeth Warren ,231, MA,"Lowell Coordinated Campaign Office - 175 Merrimack Street, Lowell, MA",42.617456,-71.286169,1.0,street_center,,Lowell St,Lowell,MA,Middlesex County,1852,US,TIGER/Line® dataset from the US Census Bureau,"Middlesex County, MA: 231 guests"," Lowell Get Out the Vote Canvass Kick-off with Elizabeth Warren , Lowell Coordinated Campaign Office - 175 Merrimack Street, Lowell, MA",#fbdaee,30,"(-71.286169, 42.617456)",Point,Warren
114,NOV 5, Lynn GOTV Canvass Kick-Off w/ Elizabeth Warren & Seth Moulton ,223, MA,"Lynn Coordinated Campaign Office - 47 Myrtle Street, Lynn, MA",42.46314,-70.92679,0.5,street_center,,Lynn Shore Dr,Lynn,MA,Essex County,1902,US,TIGER/Line® dataset from the US Census Bureau,"Essex County, MA: 223 guests"," Lynn GOTV Canvass Kick-Off w/ Elizabeth Warren & Seth Moulton , Lynn Coordinated Campaign Office - 47 Myrtle Street, Lynn, MA",#fbdaee,30,"(-70.92679, 42.46314)",Point,Warren
115,NOV 4, Worcester GOTV Canvass Kick-Off with Elizabeth Warren ,310, MA,"Worcester Coordinated Campaign Office 198 Park Ave, Worcester, MA",42.265275,-71.87941500000001,1.0,place,,,Worcester,MA,Worcester County,1601,US,TIGER/Line® dataset from the US Census Bureau,"Worcester County, MA: 310 guests"," Worcester GOTV Canvass Kick-Off with Elizabeth Warren , Worcester Coordinated Campaign Office 198 Park Ave, Worcester, MA",#fbdaee,30,"(-71.87941500000001, 42.265275)",Point,Warren
116,NOV 4, Springfield GOTV Canvass Kick-Off with Elizabeth Warren ,382, MA,"Springfield Coordinated Campaign Office - 54 Island Pond Road, Springfield, MA",42.132508,-72.600365,1.0,street_center,,Springfield St,Springfield,MA,Hampden County,1107,US,TIGER/Line® dataset from the US Census Bureau,"Hampden County, MA: 382 guests"," Springfield GOTV Canvass Kick-Off with Elizabeth Warren , Springfield Coordinated Campaign Office - 54 Island Pond Road, Springfield, MA",#fbdaee,30,"(-72.600365, 42.132508)",Point,Warren
117,NOV 3, New Bedford GOTV Canvass Kick-Off with Elizabeth Warren ,46, MA,"Greater Southeastern Mass Labor Council - 560 Pleasant Street, New Bedford, MA",41.633416,-70.951045,1.0,place,,,New Bedford,MA,Bristol County,2740,US,TIGER/Line® dataset from the US Census Bureau,"Bristol County, MA: 46 guests"," New Bedford GOTV Canvass Kick-Off with Elizabeth Warren , Greater Southeastern Mass Labor Council - 560 Pleasant Street, New Bedford, MA",#fbdaee,10,"(-70.951045, 41.633416)",Point,Warren
118,NOV 3, Brockton Get Out the Vote Canvass Kick-Off with Elizabeth Warren ,106, MA,"Brockton Coordinated Campaign Office - 595 Belmont Street, Brockton, MA",42.079399,-71.03999,1.0,place,,,Brockton,MA,Plymouth County,2301,US,TIGER/Line® dataset from the US Census Bureau,"Plymouth County, MA: 106 guests"," Brockton Get Out the Vote Canvass Kick-Off with Elizabeth Warren , Brockton Coordinated Campaign Office - 595 Belmont Street, Brockton, MA",#fbdaee,20,"(-71.03999, 42.079399)",Point,Warren
119,OCT 30, Team Warren Pre-Debate Rally in Needham ,966, MA,"WCVB -TV Channel 5, Needham Heights, MA",42.294542,-71.232833,0.9,place,,,Needham Heights,MA,Norfolk County,2194,US,TIGER/Line® dataset from the US Census Bureau,"Norfolk County, MA: 966 guests"," Team Warren Pre-Debate Rally in Needham , WCVB -TV Channel 5, Needham Heights, MA",#fbdaee,30,"(-71.232833, 42.294542)",Point,Warren
120,OCT 28, Roxbury Early Vote Rally with Elizabeth Warren ,215, MA,"195 Dudley St, Roxbury, MA",42.328297,-71.081671,1.0,rooftop,195.0,Dudley St,Boston,MA,Suffolk County,2119,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","Suffolk County, MA: 215 guests"," Roxbury Early Vote Rally with Elizabeth Warren , 195 Dudley St, Roxbury, MA",#fbdaee,30,"(-71.081671, 42.328297)",Point,Warren
121,OCT 28, Lawrence Early Vote Rally with Elizabeth Warren & Lori Trahan ,216, MA,"225 Essex St, Lawrence, MA",42.707975,-71.15929100000001,1.0,rooftop,225.0,Essex St,Lawrence,MA,Essex County,1840,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","Essex County, MA: 216 guests"," Lawrence Early Vote Rally with Elizabeth Warren & Lori Trahan , 225 Essex St, Lawrence, MA",#fbdaee,30,"(-71.15929100000001, 42.707975)",Point,Warren
122,OCT 27, Malden Early Vote Rally with Elizabeth Warren & Ed Markey ,179, MA,"137 Pleasant St, Malden, MA",42.42734,-71.070923,1.0,rooftop,137.0,Pleasant St,Malden,MA,Middlesex County,2148,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","Middlesex County, MA: 179 guests"," Malden Early Vote Rally with Elizabeth Warren & Ed Markey , 137 Pleasant St, Malden, MA",#fbdaee,20,"(-71.070923, 42.42734)",Point,Warren
123,OCT 25, Worcester Early Vote Rally with Elizabeth Warren ,632, MA,"Tilton Hall, Higgins University Center, Clark University, Worcester, MA",42.265275,-71.87941500000001,1.0,place,,,Worcester,MA,Worcester County,1601,US,TIGER/Line® dataset from the US Census Bureau,"Worcester County, MA: 632 guests"," Worcester Early Vote Rally with Elizabeth Warren , Tilton Hall, Higgins University Center, Clark University, Worcester, MA",#fbdaee,30,"(-71.87941500000001, 42.265275)",Point,Warren
124,OCT 22, Early Vote Kick-Off Event with Elizabeth Warren ,390, UM,"Cape Cod Lounge, UMass Amherst Student Union, Amherst, MA",42.367092,-72.46457099999999,1.0,place,,,Amherst,MA,Hampshire County,1002,US,TIGER/Line® dataset from the US Census Bureau,"Hampshire County, MA: 390 guests"," Early Vote Kick-Off Event with Elizabeth Warren , Cape Cod Lounge, UMass Amherst Student Union, Amherst, MA",#fbdaee,30,"(-72.46457099999999, 42.367092)",Point,Warren
125,OCT 21, Team Warren Pre-Debate Rally in Springfield ,1550, MA,"44 Hampden Street, Springfield, MA",42.103511,-72.59524,1.0,rooftop,44.0,Hampden St,Springfield,MA,Hampden County,1103,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT","Hampden County, MA: 1550 guests"," Team Warren Pre-Debate Rally in Springfield , 44 Hampden Street, Springfield, MA",#fbdaee,30,"(-72.59524, 42.103511)",Point,Warren
