date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
APR 25, Rally in Fort Worth with Bernie Sanders ,3686, TX,"Burnett ParkFort Worth, TX",0.0,0.0,0.0,,,,,,,,,,," Rally in Fort Worth with Bernie Sanders , Burnett ParkFort Worth, TX",#f67e7d,30,"(0.0, 0.0)",Point,Sanders
APR 24, Rally in Houston with Bernie Sanders ,4502, TX,"Discovery Green, Houston, TX",29.864587,-95.631943,1.0,street_center,,Discovery Ln,Houston,TX,Harris County,77084.0,US,TIGER/Line® dataset from the US Census Bureau,"Harris County, TX: 4502 guests"," Rally in Houston with Bernie Sanders , Discovery Green, Houston, TX",#f67e7d,30,"(-95.631943, 29.864587)",Point,Sanders
APR 19, Rally In Greenville with Bernie Sanders ,2992, SC,"Gunter Theater, Greenville, SC",34.848566999999996,-82.40287099999999,1.0,place,,,Greenville,SC,Greenville County,29601.0,US,TIGER/Line® dataset from the US Census Bureau,"Greenville County, SC: 2992 guests"," Rally In Greenville with Bernie Sanders , Gunter Theater, Greenville, SC",#f67e7d,30,"(-82.40287099999999, 34.848566999999996)",Point,Sanders
APR 14, Rally in Pittsburgh with Bernie Sanders ,6845, PA,"Schenley Plaza, Pittsburgh, PA",40.471818,-79.938937,1.0,street_center,,Schenley Ave,Pittsburgh,PA,Allegheny County,15224.0,US,TIGER/Line® dataset from the US Census Bureau,"Allegheny County, PA: 6845 guests"," Rally in Pittsburgh with Bernie Sanders , Schenley Plaza, Pittsburgh, PA",#f67e7d,30,"(-79.938937, 40.471818)",Point,Sanders
APR 13," Rally in Warren, MI with Bernie Sanders ",4294, MI,"28466 Bunert Rd, Warren, MI",42.504433,-82.97763,1.0,range_interpolation,28466.0,Bunert Rd,Warren,MI,Macomb County,48093.0,US,TIGER/Line® dataset from the US Census Bureau,"Macomb County, MI: 4294 guests"," Rally in Warren, MI with Bernie Sanders , 28466 Bunert Rd, Warren, MI",#f67e7d,30,"(-82.97763, 42.504433)",Point,Sanders
APR 12, Rally in Madison with Bernie Sanders ,6084, WI,"James Madison Park, Madison, WI",43.342301,-89.020932,1.0,street_center,,James St,Columbus,WI,Columbia County,53925.0,US,TIGER/Line® dataset from the US Census Bureau,"Columbia County, WI: 6084 guests"," Rally in Madison with Bernie Sanders , James Madison Park, Madison, WI",#f67e7d,30,"(-89.020932, 43.342301)",Point,Sanders
APR 7, Town Meeting in Malcom with Bernie Sanders ,373, IA,"212 Main St, Malcom, IA",41.706226,-92.555989,1.0,range_interpolation,212.0,Main St,Malcom,IA,Poweshiek County,50157.0,US,TIGER/Line® dataset from the US Census Bureau,"Poweshiek County, IA: 373 guests"," Town Meeting in Malcom with Bernie Sanders , 212 Main St, Malcom, IA",#f67e7d,30,"(-92.555989, 41.706226)",Point,Sanders
APR 7, Town Meeting in Oskaloosa with Bernie Sanders ,365, IA,"Oskaloosa, IA",41.283366,-92.662675,1.0,place,,,Oskaloosa,IA,Mahaska County,52577.0,US,TIGER/Line® dataset from the US Census Bureau,"Mahaska County, IA: 365 guests"," Town Meeting in Oskaloosa with Bernie Sanders , Oskaloosa, IA",#f67e7d,30,"(-92.662675, 41.283366)",Point,Sanders
APR 6, Rally in Fairfield with Bernie Sanders ,454, CT,"Fairfield, CT",41.175173,-73.28240799999999,1.0,place,,,Fairfield,CT,Fairfield County,6430.0,US,TIGER/Line® dataset from the US Census Bureau,"Fairfield County, CT: 454 guests"," Rally in Fairfield with Bernie Sanders , Fairfield, CT",#f67e7d,30,"(-73.28240799999999, 41.175173)",Point,Sanders
APR 6," Town Meeting in Burlington, Iowa, with Bernie Sanders ",1105, IA,"Aldo Leopold Middle School ,Burlington, IA",40.898412,-91.164393,1.0,place,,,Burlington,IA,Des Moines County,52601.0,US,TIGER/Line® dataset from the US Census Bureau,"Des Moines County, IA: 1105 guests"," Town Meeting in Burlington, Iowa, with Bernie Sanders , Aldo Leopold Middle School ,Burlington, IA",#f67e7d,30,"(-91.164393, 40.898412)",Point,Sanders
APR 6, Town Meeting in Muscatine with Bernie Sanders ,693, IA,"600 Kindler Ave, Muscatine, IA",41.428658,-91.071529,1.0,range_interpolation,600.0,Kindler Ave,Muscatine,IA,Muscatine County,52761.0,US,TIGER/Line® dataset from the US Census Bureau,"Muscatine County, IA: 693 guests"," Town Meeting in Muscatine with Bernie Sanders , 600 Kindler Ave, Muscatine, IA",#f67e7d,30,"(-91.071529, 41.428658)",Point,Sanders
APR 5, Rally in Davenport with Bernie Sanders ,2247,IA,"Davenport, IA",41.521038,-90.574849,1.0,place,,,Davenport,IA,Scott County,52801.0,US,TIGER/Line® dataset from the US Census Bureau,"Scott County, IA: 2247 guests"," Rally in Davenport with Bernie Sanders , Davenport, IA",#f67e7d,30,"(-90.574849, 41.521038)",Point,Sanders
MAR 24, Rally in San Francisco with Bernie Sanders ,14442, CA,"Fort Mason Great Meadow, San Francisco, CA",37.776646,-122.41748100000001,1.0,place,,,San Francisco,CA,San Francisco County,94101.0,US,TIGER/Line® dataset from the US Census Bureau,"San Francisco County, CA: 14442 guests"," Rally in San Francisco with Bernie Sanders , Fort Mason Great Meadow, San Francisco, CA",#f67e7d,30,"(-122.41748100000001, 37.776646)",Point,Sanders
MAR 23, Rally in Los Angeles with Bernie Sanders ,24155, CA,"Grand Park, Los Angeles, CA",34.017413,-118.442594,0.9,street_center,,Grand View Blvd,Los Angeles,CA,Los Angeles County,90066.0,US,TIGER/Line® dataset from the US Census Bureau,"Los Angeles County, CA: 24155 guests"," Rally in Los Angeles with Bernie Sanders , Grand Park, Los Angeles, CA",#f67e7d,30,"(-118.442594, 34.017413)",Point,Sanders
MAR 22, Rally in San Diego with Bernie Sanders ,10081, CA,"Waterfront Park, San Diego, CA",32.724103,-117.17091200000002,1.0,place,,,San Diego,CA,San Diego County,92101.0,US,TIGER/Line® dataset from the US Census Bureau,"San Diego County, CA: 10081 guests"," Rally in San Diego with Bernie Sanders , Waterfront Park, San Diego, CA",#f67e7d,30,"(-117.17091200000002, 32.724103)",Point,Sanders
MAR 16, Rally in Henderson with Bernie Sanders ,5337, NV,"500 Harris St, Henderson, NV",36.035066,-114.970033,1.0,rooftop,500.0,Harris St,Henderson,NV,Clark County,89015.0,US,Henderson,"Clark County, NV: 5337 guests"," Rally in Henderson with Bernie Sanders , 500 Harris St, Henderson, NV",#f67e7d,30,"(-114.970033, 36.035066)",Point,Sanders
